pid,title,summary,dates,repository,collection
"umd:4077
","Photograph of Matilda Louise Sterling, circa 1890","Photograph of Matilda ""Tillie"" Louise Sterling. ""Original"" is a color photocopy, original photograph dates to circa 1890.",1801-1900;1890,Historical Manuscripts,Sterling Family papers
"umd:4079
","Photograph of Anna Virginia Farquhar, circa 1865","Photograph of Anna Virginia Farquhar. ""Original"" is a color photocopy, original photograph dates to circa 1865.",1801-1900;1865,Historical Manuscripts,Sterling Family papers
"umd:4429
","Letter from Alexander Perry to Major Felix Agnus, 23 March 1866","Letter from Alexander Perry to Major Felix Agnus stating that Agnus's returns for clothing and camp equipment have been submitted to an auditor in the Department of the Treasury, ""for final settlement,"" 23 March 1866.",1801-1900;1866-03-23,Historical Manuscripts,Felix Agnus papers
"umd:4434
","Form V., Treasury Department, Second Auditor's Office, suspending Major Felix Agnus, 8 May 1866","Form V., Treasury Department, Second Auditor's Office, suspending Major Felix Agnus, 8 May 1866.",1801-1900;1866-05-8,Historical Manuscripts,Felix Agnus papers
"umd:4438
","Letter from Alexander Perry to Captain Felix Agnus, 8 December 1866","Letter from Alex. Perry to Capt. Felix Agnus stating that Agnus's returns for clothing and camp equipment have been submitted to an auditor, 8 December 1866.",1801-1900;1866-12-8,Historical Manuscripts,Felix Agnus papers
"umd:4457
","Major Felix Agnus' claim for back pay, 26 July 1865","Claim of Major Felix Agnus for back pay, 26 July 1865.",1901-2000;1865-07-26,Historical Manuscripts,Felix Agnus papers
"umd:4498
","Discharge papers of Lewis P. Lynch, 6 August 1861","Certificate discharging Lewis P. Lynch from service in the United States Army, 6 August 1861.",1801-1900;1861-08-6,Historical Manuscripts,Felix Agnus papers
"umd:4539
","Descriptive List of Felix Agnus, 15 September 1862","Description of Felix Agnus, including place of birth, physical appearance, and occupation, 15 September 1862.",1801-1900;1862-09-15,Historical Manuscripts,Felix Agnus papers
"umd:4543
","Notice of military liability to Curtis Ogden, Jr., 22 July 1862","Notice drafted by Assessors of the United States Military to Curtis Ogden, Jr. informing him that he has been enrolled as liable to Military duty, 22 July 1862.",1801-1900;1862-07-22,Historical Manuscripts,Felix Agnus papers
"umd:4547
","Receipt for military stores, 1863","Receipt Roll indicating supplies furnished to first and second divisions of the ninth Company, 1863.",1801-1900;1863,Historical Manuscripts,Felix Agnus papers
"umd:4553
","Ordinance No. 13, a letter Requesting an Accounting of Regimental Statistics from 165th Regiment, 22 August 1863","Letter sent to the Commanding Officer of the 165th New York regiment from the Ordnance Office in the War Department, requesting an accurate account of materials, 22 August 1863.",1801-1900;1863-08-22,Historical Manuscripts,Felix Agnus papers
"umd:4558
","Form No. 7, List of Ordnance Received from Major Felix Agnus by Lieutenant Warker at Baton Rouge, Louisiana, 29 August 1863","List of Ordnance received at Baton Rouge, Louisiana, from Major Felix Agnus by Lieutenant Walker of the 165th New York Regiment, 29 August 1863.",1801-1900;1863-08-29,Historical Manuscripts,Felix Agnus papers
"umd:4569
","List of Ordnance received at Baton Rouge, Louisiana, from Major Felix Agnus by Lieutenant Linguiste, 29 August 1863","List of Ordnance received at Baton Rouge, Louisiana, by Lieutenant Linguiste from Major Felix Agnus of the 165th New York Regiment, 29 August 1863.",1801-1900;1863-08-29,Historical Manuscripts,Felix Agnus papers
"umd:4572
","Invoice of Ordnance Given to Major Felix Agnus by Lieutenant Cowdrey, 31 August 1863","Invoice of Ordnance turned over by Lieutenant Cowdrey to Major Felix Agnus, Commanding, 165th New York Regiment, 31 August 1863.",1801-1900;1863-08-31,Historical Manuscripts,Felix Agnus papers
"umd:4577
","General Order No. 34, Concerning the Transfer into Invalid Corps, 10 September 1863","General Orders No. 304, concerning transfer to the Invalid Corps, issued by the Secretary of War, E.D. Townsend, 10 September 1863.",1801-1900;1863-09-10,Historical Manuscripts,Felix Agnus papers
"umd:4588
","Letter from G. Carr, Lieutenant Colonel, to Brigadier General S. Sprague, 165th New York Regiment, 23 January 1864","Letter from G. Carr, Lieutenant Colonel, to Brigadier General S. Sprague, concerning Recruitment and Promotion of Men in the 165th New York Regiment (2nd Duryee Zouaves), 23 January 1864.",1801-1900;1864-01-23,Historical Manuscripts,Felix Agnus papers
"umd:4601
","Special Order No. 56, Leave for Major Agnus to Travel to New York, 5 March 1864","Special Order No. 56, Allowing Major Felix Agnus to visit Albany, New York to conduct business with the Governor of New York, 5 March 1864.",1801-1900;1864-03-5,Historical Manuscripts,Felix Agnus papers
"umd:4603
","Special Order No. 105, Appointing Major Felix Agnus to a General Court-Martial, 28 April 1864","Special Order No. 105, appointing Major Felix Agnus to a General Court-Martial, 28 April 1864.",1801-1900;1864-04-28,Historical Manuscripts,Felix Agnus papers
"umd:4607
","Special Order No. 108, Ordering the Assembly of a Court-Martial in New York, 2 May 1864","Special Order No. 108, Ordering Major Felix Agnus and others to convene a Court-Martial on 3 May 1864, and the order is issued on 2 May 1864.",1801-1900;1864-05-2,Historical Manuscripts,Felix Agnus papers
"umd:4611
","Special Order No. 108, revoking order No. 105, 2 May 1864","Special order No. 108 revoking order No. 5, 2 May 1864.",1801-1900;1864-05-2,Historical Manuscripts,Felix Agnus papers
"umd:4613
","Special Order No. 112, Ordering Major Felix Agnus to return to the 165th New York Regiment, 11 May 1864","Special Order No. 112, relieving Major Felix Agnus of Court-Martial duty, and ordering him to return to the 165th New York Regiment, 11 May 1864.",1801-1900;1864-05-11,Historical Manuscripts,Felix Agnus papers
"umd:4618
","Special Order No. 112 (Extract), Ordering Major Felix Agnus to return to the 165th New York Regiment, 11 May 1864","Special Order No. 112 (Extract), relieving Major Felix Agnus of Court-Martial duty, and ordering him to return to the 165th New York Regiment, 11 May 1864.",1801-1900;1864-05-11,Historical Manuscripts,Felix Agnus papers
"umd:4622
","Special Order No. 149, Ordering Major Felix Agnus to Return to the 165th New York Regiment, 21 June 1864","Special Order No. 149, Ordering Major Felix Agnus to Return to the 165th New York Regiment, 21 June 1864.",1801-1900;1864-06-21,Historical Manuscripts,Felix Agnus papers
"umd:4627
","Letter from Captain George Balch to Major Felix Agnus Requesting 4th Quarter Returns, 8 July 1864","Letter from Captain George Balch, Captain of Ordnance, to Major Felix Agnus, 165th New York, requesting 4th Quarter Returns, 8 July 1864.",1801-1900;1864-07-8,Historical Manuscripts,Felix Agnus papers
"umd:4633
","Letter from Captain George Balch, 8 July 1864","Letter from Captain George Balch, Captain of Ordnance, to Major Felix Agnus, 165th New York, requesting 2nd and 3rd Quarter Returns, 8 July 1864.",1801-1900;1864-07-8,Historical Manuscripts,Felix Agnus papers
"umd:4637
","Letter by Lieutenant U. J. [Vannert], 19 September 1864","Letter written by Lieutenant U. J. [Vannert] requesting medical discharge from the military, 19 September 1864.",1801-1900;1864-09-19,Historical Manuscripts,Felix Agnus papers
"umd:4645
","Invoice of Ordnance Stores, 9 November 1864","Invoice of Ordnance and Ordnance Stores turned over by Adjt. S. W. Shattuck, 8th New York Volunteers to 165th New York at Ceder Creek, VA, 7 November 1864.",1801-1900;1864-11-7-1864-11-9,Historical Manuscripts,Felix Agnus papers
"umd:4652
","Special Order No. 85, 14 November 1864","Special Order No. 85 commissioning a board of survey concerning alleged deficiencies in commissary stores, 14 November 1864.",1801-1900;1864-11-14,Historical Manuscripts,Felix Agnus papers
"umd:4658
","Letter from T. J. [Treadwell] of the Ordnance Office to Major Felix Agnus, 22 November 1864","Letter from T. J. Treadwell, Captain of Ordnance, to Major Felix Agnus, 165th New York Regiment, stating that the Ordnance Return for the 3rd quarter of 1863 has been referred to a second auditor for settlement, 22 November 1864.",1801-1900;1864-11-22,Historical Manuscripts,Felix Agnus papers
"umd:4666
","Letter from T. J. [Treadwell] of the Ordnance Office to Major Felix Agnus, 23 November 1864","Letter from T. J. Treadwell, Captain of Ordnance, to Major Felix Agnus, 165th New York, listing lost ordnance for which Agnus was responsible, 23 November 1864.",1801-1900;1864-11-23,Historical Manuscripts,Felix Agnus papers
"umd:4668
","Letter from T. J. Treadwell of Ordnance Office to Major Felix Agnus, 23 November 1864","Letter from T. J. Treadwell, Captain of Ordnance, to Major Felix Agnus, 165th New York, stating that the ordnance for the 3rd quarter of 1863 has been referred to a second auditor for settlement",1801-1900;1864-11-23,Historical Manuscripts,Felix Agnus papers
"umd:4670
","List of Ordinance Received at Camp Russell, 24 November 1864","List of Ordnance received at Camp Russell by Major Felix Agnus, 24 November 1864.",1801-1900;1864-11-24,Historical Manuscripts,Felix Agnus papers
"umd:4675
","Invoice of Ordnance and Ordnance Stores, 24 November 1864","Invoice of Ordnance and Ordnance Stores turned over by Lieutenant George Wood, 10th New York Artillery, to Major Felix Agnus at Camp Russell, 24 November 1864.",1801-1900;1864-11-24,Historical Manuscripts,Felix Agnus papers
"umd:4686
","List of Ordnance received at Camp Russell, 24 November 1864","List of Ordnance received at Camp Russell by Major Felix Agnus of the 165th New York Regiment, 24 November 1864.",1801-1900;1864-11-24,Historical Manuscripts,Felix Agnus papers
"umd:4695
","List of Ordnance Received at Camp Russell, 24 November 1864","List of Ordnance received at Camp Russell by Major Felix Agnus of the 165th New York Regiment, 24 November 1864.",1801-1900;1864-11-24,Historical Manuscripts,Felix Agnus papers
"umd:4698
","Letter to the Ordnance Department Explaining Loss of War Supplies, 3 December 1864","Letter [from Major Felix Agnus ?] to the Ordnance Department explaining the loss of weapons and accoutrements, 3 December 1864.",1801-1900;1864-12-3,Historical Manuscripts,Felix Agnus papers
"umd:4700
","Letter from Lt. Jno. R. M. Guiness to Major Felix Agnus, 27 February 1865","Letter from Lieutenant Jno. R. M. Guiness of the Ordnance Office, War Department, to Major Felix Agnus, stating that the 4th Quarter Returns for 1864 have been submitted to an auditor, 27 February 1865.",1801-1900;1865-02-27,Historical Manuscripts,Felix Agnus papers
"umd:4704
","Special Order No. 8, Resignation of Major Felix Agnus, 27 February 1865","Special Order No. 8, Resignation of Major Felix Agnus on the basis of a surgeon's Certificate of Disability, 27 February 1865.",1801-1900;1865-07-26,Historical Manuscripts,Felix Agnus papers
"umd:4936
","Letter from Matt (?) To Ginnie Osburn, 4 April 1862","Letter from Matt (?) Written from Prescott, Wisconsin, to Ginnie Osburn of Dillsburg, Pennsylvania, 4 April 1862. Envelope included.",1801-1900;1862-04-4,Historical Manuscripts,Osburn Family papers
"umd:4947
","Letter from Rachel McClure to Ginnie Osburn, 14 November 1857","Letter from Rachel McClure to her friend Ginnie Osburn in Frederick City, Maryland, 14 November 1857. Envelope included.",1801-1900;1857-11-14,Historical Manuscripts,Osburn Family papers
"umd:4955
","Letter from James Osburn to his mother, 16 March 1864","Letter from James Osburn in New Orleans, Louisiana, to his mother in Dillsburg, Pennsylvania. James Osburn, a Union soldier, served in Company I, 3rd Maryland Regiment. 16 March 1864.",1801-1900;1864-03-16,Historical Manuscripts,Osburn Family papers
"umd:4959
","Business Card for Marshall House in Alexandria, Virginia, 1861","Business card for a guesthouse in Alexandria, Virginia, with an accompanying small envelope addressed to James Osburn and his unit, 1861.",1801-1900;1861,Historical Manuscripts,Osburn Family papers
"umd:4962
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 22 March 1863","Letter from Lewis Osburn written from Hagerstown, Maryland, to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 22 March 1863.",1801-1900;1863-03-22,Historical Manuscripts,Osburn Family papers
"umd:4966
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 3 February 1863","Letter from Lewis Osburn written from Hagerstown, Maryland, to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania.",1801-1900;1863-02-3,Historical Manuscripts,Osburn Family papers
"umd:4977
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 10 May 1863","Letter from Lewis Osburn written from Hagerstown, Maryland, to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 10 May 1863.",1801-1900;1863-05-10,Historical Manuscripts,Osburn Family papers
"umd:4981
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 25 July 1863","Letter from Lewis Osburn written from Hagerstown, Maryland, to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 25 July 1863.",1801-1900;1863-07-25,Historical Manuscripts,Osburn Family papers
"umd:4985
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 8 October 1863","Letter from Lewis Osburn written from General Hospital in Frederick, Maryland, to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 8 October 1863.",1801-1900;1863-10-8,Historical Manuscripts,Osburn Family papers
"umd:4990
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 20 November 1863","Letter from Lewis Osburn written from Camp Destebusing in Alexandria to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 20 November 1863.",1801-1900;1863-11-20,Historical Manuscripts,Osburn Family papers
"umd:4994
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 14 December 1863","Letter from Lewis Osburn written from Camp near Hely [?] Ford, Virginia to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, December 14, 1863.",1801-1900;1863-12-14,Historical Manuscripts,Osburn Family papers
"umd:5003
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 24 February 1864","Letter from Lewis Osburn written from Stanton Hospital to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 24 February 1864.",1801-1900;1864-02-24,Historical Manuscripts,Osburn Family papers
"umd:5007
","Letter from Lewis Osburn to his sister, Ginnie Osburn, dated both 7 March and 10 April, 1864","Letter from Lewis Osburn written from Stanton Hospital and Washington, D.C. to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, dated both 7 March and 10 April, 1864.",1801-1900;1864-03-7-1864-04-10,Historical Manuscripts,Osburn Family papers
"umd:5010
","Instructions by Lewis Osburn Directing Future Correspondence (Forwarding Address), 1864","Slip of paper listing the address to which future correspondence to Lewis Osburn should be sent, 1864.",1801-1900;1864,Historical Manuscripts,Osburn Family papers
"umd:5055
","Letter from Lewis Osburn to his sister, Ginnie Osburn, 19 February, 1863","Letter from Lewis Osburn written from Hagerstown, Maryland, to his sister, Ginnie Osburn, in Dillsburg, Pennsylvania, 19 February 1863.",1801-1900;1863-02-19,Historical Manuscripts,Osburn Family papers
"umd:5058
","Descriptive list and account of pay and clothing of Louis P. Lynch, 30 July 1862","Descriptive List and Account of Pay and Clothing of Louis P. Lynch, Company R. 72nd Reg., 30 July 1862.",1801-1900;1862-07-30,Historical Manuscripts,Felix Agnus papers
"umd:5060
","Description of Felix Agnus, 15 September 1862","Description of Felix Agnus, including place of birth, physical appearance, and occupation, 15 September 1862.",1801-1900;1862-09-15,Historical Manuscripts,Felix Agnus papers
"umd:5063
","Muster-Out Roll of Captain Felix Agnus, 1 September 1863","Muster-Out Roll of Captain Felix Agnus, Co.""A,"" 165th New York, 1 September 1863.",1801-1900;1863-09-1,Historical Manuscripts,Felix Agnus papers
"umd:5067
","Return [Monthly Report] of Captain Felix Agnus, Company ""A,"" 165th New York, January 1863","Return [Monthly Report] of Captain Felix Agnus, Company ""A,"" 165th New York, January 1863.",1801-1900;1863-01-31,Historical Manuscripts,Felix Agnus papers
"umd:5070
","Return [Monthly Report] of Capt. Felix Agnus, Company ""A,"" 165th New York, February 1863","Return [Monthly Report] of Capt. Felix Agnus, Company ""A,"" 165th New York, February 1863.",1801-1900;1863-02-28,Historical Manuscripts,Felix Agnus papers
"umd:5077
","Quarterly Return of Ordnance and Ordnance Stores, 31 March 1863","Return of Ordnance and Ordnance Stores, Company ""A,"" 165th New York, 31 March, 1863.",1801-1900;1863-03-31,Historical Manuscripts,Felix Agnus papers
"umd:5084
","Quarterly Return of Ordnance and Ordnance Stores, 30 June 1863","Quarterly Return of Ordnance and Ordnance Stores, Company ""A,"" 165th New York, 30 June 1863.",1801-1900;1863-06-30,Historical Manuscripts,Felix Agnus papers
"umd:5089
","Return [Monthly Report] of Captain Felix Agnus, Co. ""A,"" 165th New York, July 1863","Return [Monthly Report] of Captain Felix Agnus, Co. ""A,"" 165th New York, July 1863.",1801-1900;1863-07-31,Historical Manuscripts,Felix Agnus papers
"umd:5094
","Return [Monthly Report] of Capt. Felix Agnus, Company ""A"", 165th New York","Return [Monthly Report] of Capt. Felix Agnus, Company A, 165th New York, August 1863.",1801-1900;1863-08-31,Historical Manuscripts,Felix Agnus papers
"umd:5097
","Muster-In Roll of Major Felix Agnus, 165th New York, 2 September 1863","Muster-In Roll of Major Felix Agnus, 165th New York, 2 September 1863.",1801-1900;1863-09-2,Historical Manuscripts,Felix Agnus papers
"umd:5105
","Quarterly Return of Ordnance and Ordnance Stores, 30 September 1863","Quarterly Return of Ordnance and Ordnance Stores, 165th Regiment of New York Volunteers, September 30, 1863.",1801-1900;1863-09-30,Historical Manuscripts,Felix Agnus papers
"umd:5110
","Quarterly Return of Ordnance and Ordnance Stores, 31 December 1863","Quarterly Return of Ordnance and Ordnance Stores, Company ""A,"" 165th New York, 31 December 1863.",1801-1900;1863-12-31,Historical Manuscripts,Felix Agnus papers
"umd:5115
","Quarterly Return of Ordnance and Ordnance Stores, 31 December 1864","Quarterly Return of Ordnance and Ordnance Stores for the 165th New York, 31 December 1864.",1801-1900;1864-12-31,Historical Manuscripts,Felix Agnus papers
"umd:5187
","H.J. Patterson Hall, night view, University of Maryland, 1985","The H.J. Patterson Building on a snowy night, 1985.",1901-2000;1985,Historical Manuscripts,Weems/Reynolds family papers
"umd:5189
","H.J. Patterson Hall after snowfall, night view, University of Maryland, 1985","Night view of H.J. Patterson Hall after snowfall, 1985.",1901-2000;1985,Historical Manuscripts,Weems/Reynolds family papers
"umd:5191
","Night View of Campus Building from Under a Tree, 1985","Night View of the Columns of a Campus Building from Under a Tree, 1985.",1901-2000;1985,University Archives,Weems/Reynolds family papers
"umd:5193
","Campus entrance, night view, University of Maryland, 1985","Night view of Campus from the Main Entrance to the University of Maryland, College Park, 1985.",1901-2000;1985,Historical Manuscripts,Weems/Reynolds family papers
"umd:5195
","Campus entrance, night view, University of Maryland, 1985","Night view of Campus Drive through Campus Drive Entrance, 1985.",1901-2000;1985,Historical Manuscripts,Weems/Reynolds family papers
"umd:5197
","Campus Drive entrance, night view, University of Maryland, 1985","Night view of Campus through Campus Drive Entrance, 1985.",1901-2000;1985,Historical Manuscripts,Weems/Reynolds family papers
"umd:5199
","Mathematics Building, Night View, 1985","Night view of the Mathematics Building at the University of Maryland, 1985.",1901-2000;1985,Historical Manuscripts,Weems/Reynolds family papers
"umd:5204
","Memorial Chapel Steeple at Sunset, 1985","Memorial Chapel Steeple at Sunset, 1985.",1901-2000;1985,University Archives,Weems/Reynolds family papers
"umd:5322
","Log Cabin Schoolhouse Attended by Governor Edwin Warfield, circa 1868-1869","Log Cabin Schoolhouse Attended by Governor Edwin Warfield, circa 1868-1869.",1801-1900;1868-1869,Historical Manuscripts,Warfield Family papers
"umd:5324
","Confederate Reunion, Including Governor Edwin Warfield, 10 June 1899","A Confederate reunion, including governor Edwin Warfield, at Oakdale, Howard County, Maryland, 10 June 1899.",1801-1900;1899-06-10,Historical Manuscripts,Warfield Family papers
"umd:5326
","Governor Edwin Warfield reviewing Troop A Cavalry, Maryland National Guard, 2 September 1904","Governor Warfield, Adjutant-General Clinton L. Riggs, and Brigadier-General Lawrason Riggs, commanding First Brigade, Maryland National Guard, Reviewing Troop A Cavalry, Maryland National Guard, at Governor Warfield's home, ""Oakdale"", Howard County, Maryland, en route to the Army Maneuvers at Manassas, Virginia, 2 September 1904.",1901-2000;1904-09-2,Historical Manuscripts,Warfield Family Papers
"umd:5328
","Diary of Susan Mathiot Gale, March 14, 1859 to July 18, 1869","Diary of Susan Mathiot Gale, West River, Maryland, from 14 March 1859 to 18 July 1869.",1901-2000;1859-03-14-1869-07-18,Historical Manuscripts,Maryland Manuscripts collection
"umd:50498
","John Jacob Omenhausser, Civil War sketchbook, Point Lookout, Maryland, 1864-1865","Confederate soldier John Jacob Omenhausser was imprisoned at the Union prison camp in Point Lookout, Maryland, from June 1864 to June 1865, near the end of the American Civil War. While at Point Lookout, Omenhausser documented prison life in sketchbooks with vibrant watercolors. His paintings were annotated with captions and dialog and, while intending to be humorous, often touch upon the grimmer aspects of camp life. Because he had relatives in the North, Omenhausser may have had an easier time obtaining supplies to make his life more bearable during that year. The University of Maryland Libraries owns one of only a handful of Omenhausser sketchbooks in existence, and our volume, with 62 color paintings, is the largest single collection.",1801-1900;1864-06-1865-06,Historical Manuscripts,Maryland Manuscripts collection
"umd:59757
","Special Order No. 29, Promotions and Appointments in Company ""A,"" 165th New York, January 24, 1863","Special Order No. 29, by Capt. Felix Agnus, Company ""A"" regarding promotions and assignments, January 24, 1863",1801-1900;1863-01-24,Historical Manuscripts,Felix Agnus papers
"umd:59760
","Abstract of Materials Expended or Consumed by Company ""A,"" 165th New York, 3rd Quarter, September 30, 1863","Abstract of Materials Expended or Consumed by Company ""A,"" 165th New York, 3rd Quarter, circa September 1863.",1801-1900;1863-09-30,Historical Manuscripts,Felix Agnus papers
"umd:59765
","Form No. 7, List of Ordnance Received from Major Felix Agnus by Lieutenant E. B. Webster at Baton Rouge, Louisiana, 29 August 1863","List of Ordnance received at Baton Rouge, Louisiana, from Major Felix Agnus by Lieutenant E. B. Webster of the 165th New York Regiment, 29 August 1863.",1801-1900;1863-08-29,Historical Manuscripts,Felix Agnus papers
"umd:59768
","Felix Agnus, military service record and assorted documents, 1866","Felix Agnus, military service record and assorted documents, including discharge document, 1866",1801-1900;1866,Historical Manuscripts,Felix Agnus papers
"umd:59770
","Letter from unknown officer to his wife, October 22, 1864","Letter from unknown officer (James?) to his wife, October 22, 1864.",1801-1900;1864-10-22,Historical Manuscripts,Felix Agnus papers
"umd:59772
","Appointment of Felix Agnus as Assistant Assessor for Division No. Eleven, 3rd Collection District, State of Maryland, June 12, 1867","Appointment of Felix Agnus as Assistant Assessor for Division No. Eleven, 3rd Collection District, State of Maryland, June 12, 1867",1801-1900;1867-06-12,Historical Manuscripts,Felix Agnus papers
"umd:59773
","Letter from Felix Agnus to General Brooks concerning the loan of artillery piece from the 1st Maryland Light Artillery, May 29, 1869","Letter from Felix Agnus to General Brooks concerning the loan of artillery piece from the 1st Maryland Light Artillery, May 29, 1869",1801-1900;1869-05-29,Historical Manuscripts,Felix Agnus papers
"umd:59774
","Letter from [?], Inspector General, to General Felix Agnus, concerning donations to the Grand Army of the Republic, June 24, 1869","Letter from [?], Inspector General, to General Felix Agnus, concerning donations to the Grand Army of the Republic, June 24, 1869",1801-1900;1869-06-24,Historical Manuscripts,Felix Agnus papers
"umd:63109
","Quarterly Return of Ordnance and Ordnance Stores, 30 September 1863","Quarterly Return of Ordnance and Ordnance Stores, 165th Regiment of New York Volunteers, September 30, 1863.",1801-1900;1863-09-30,Historical Manuscripts,Felix Agnus papers
"umd:63830
","Burhaus Family papers, Series I, Folder 1: Correspondence,1862-1863","This collection consists primarily of correspondence of Herman Burhaus, who was a volunteer in the 4th New York Union Regiment during the Civil War stationed in various cities in the Washington, D.C., area. Series I consists of ten letters sent from Herman Burhaus to one of his sisters. The letters are mainly personal, but often discuss aspects of military life in the Washington, D.C. area. One particularly informative letter discusses the Battle of Sharpsburg (Antietam) and the Battle of Harper's Ferry. On October 9, 1862, Burhaus wrote: ""I think the battle of Sharpsburg would have decided this war only for the traitor in command of Harper's Ferry. Miles should have held the place to the last man and he could have done so untill [sic] McLellan reinforced him, and the rebel army in Maryland would have been captured or destroyed..."" Arrangement is chronological. For more information, see the complete finding aid to the collection at http://hdl.handle.net/1903.1/1222.",1801-1900;1862-02-25-1863-03-23,Historical Manuscripts,Burhaus Family papers
"umd:63846
","Certificate of registry for Holstein-Friesian cows, 1926","Certificate of registry for Lula Washington Korndyke of Monrovia, Holstein-Friesian cows, 1926.",1901-2000;1926-02-2,Historical Manuscripts,Davis Family papers
